,name,url,country,Geography,Population (millions),Region,revision_id,article_quality
49,Mirza Muhammad Ismail,https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1073524466,C
50,Sayed Jalal,https://en.wikipedia.org/wiki/Sayed_Jalal,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1078580238,Start
51,Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1093621927,C
52,Faizullah Kakar,https://en.wikipedia.org/wiki/Faizullah_Kakar,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1108932917,C
53,Amin Karim,https://en.wikipedia.org/wiki/Amin_Karim,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1106333491,C
54,Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1060701067,Start
55,Ahmed Wali Karzai,https://en.wikipedia.org/wiki/Ahmed_Wali_Karzai,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1090245979,GA
56,Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1114120317,Stub
57,Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1092416288,Start
58,Rouh Gul Khairzad,https://en.wikipedia.org/wiki/Rouh_Gul_Khairzad,Afghanistan,Afghanistan,41.1,SOUTH ASIA,925562571,Stub
59,Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1103105365,GA
60,Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,Afghanistan,41.1,SOUTH ASIA,1070779097,Stub
61,Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1010948755,Start
62,Farzana Kochai,https://en.wikipedia.org/wiki/Farzana_Kochai,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1079430136,Stub
63,Farida Kuchi,https://en.wikipedia.org/wiki/Farida_Kuchi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1109436134,Start
64,Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1106151353,Start
65,Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1102817004,Start
66,Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1100189662,Start
67,Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1106464575,Stub
68,Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1102907176,Start
69,Ahmad Massoud,https://en.wikipedia.org/wiki/Ahmad_Massoud,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1112608262,C
70,Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1108236868,Start
71,Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1112192884,C
72,Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1044450376,Stub
73,Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1052669338,Stub
74,Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,Afghanistan,41.1,SOUTH ASIA,1050463798,Stub
75,Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1095044526,Start
76,Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1106284627,Stub
77,Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1104635001,Start
78,Fazal Haq Mujahid,https://en.wikipedia.org/wiki/Fazal_Haq_Mujahid,Afghanistan,Afghanistan,41.1,SOUTH ASIA,1113267490,C
