State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public
MI,Macomb County,26,99,10/15/20,1,Yes
MI,Macomb County,26,99,10/16/20,1,Yes
MI,Macomb County,26,99,10/17/20,1,Yes
MI,Macomb County,26,99,10/18/20,1,Yes
MI,Macomb County,26,99,10/19/20,1,Yes
MI,Macomb County,26,99,10/20/20,1,Yes
MI,Macomb County,26,99,10/21/20,1,Yes
MI,Macomb County,26,99,10/22/20,1,Yes
MI,Macomb County,26,99,10/23/20,1,Yes
MI,Macomb County,26,99,10/24/20,1,Yes
MI,Macomb County,26,99,10/25/20,1,Yes
MI,Macomb County,26,99,10/26/20,1,Yes
MI,Macomb County,26,99,10/27/20,1,Yes
MI,Macomb County,26,99,10/28/20,1,Yes
MI,Macomb County,26,99,10/29/20,1,Yes
MI,Macomb County,26,99,10/30/20,1,Yes
MI,Macomb County,26,99,10/31/20,1,Yes
MI,Macomb County,26,99,11/1/20,1,Yes
MI,Macomb County,26,99,11/2/20,1,Yes
MI,Macomb County,26,99,11/3/20,1,Yes
MI,Macomb County,26,99,11/4/20,1,Yes
MI,Macomb County,26,99,11/5/20,1,Yes
MI,Macomb County,26,99,11/6/20,1,Yes
MI,Macomb County,26,99,11/7/20,1,Yes
MI,Macomb County,26,99,11/8/20,1,Yes
MI,Macomb County,26,99,11/9/20,1,Yes
MI,Macomb County,26,99,11/10/20,1,Yes
MI,Macomb County,26,99,11/11/20,1,Yes
MI,Macomb County,26,99,11/12/20,1,Yes
MI,Macomb County,26,99,11/13/20,1,Yes
MI,Macomb County,26,99,11/14/20,1,Yes
MI,Macomb County,26,99,11/15/20,1,Yes
MI,Macomb County,26,99,11/16/20,1,Yes
MI,Macomb County,26,99,11/17/20,1,Yes
MI,Macomb County,26,99,11/18/20,1,Yes
MI,Macomb County,26,99,11/19/20,1,Yes
MI,Macomb County,26,99,11/20/20,1,Yes
MI,Macomb County,26,99,11/21/20,1,Yes
MI,Macomb County,26,99,11/22/20,1,Yes
MI,Macomb County,26,99,11/23/20,1,Yes
MI,Macomb County,26,99,11/24/20,1,Yes
MI,Macomb County,26,99,11/25/20,1,Yes
MI,Macomb County,26,99,11/26/20,1,Yes
MI,Macomb County,26,99,11/27/20,1,Yes
MI,Macomb County,26,99,11/28/20,1,Yes
MI,Macomb County,26,99,11/29/20,1,Yes
MI,Macomb County,26,99,11/30/20,1,Yes
MI,Macomb County,26,99,12/1/20,1,Yes
MI,Macomb County,26,99,12/2/20,1,Yes
MI,Macomb County,26,99,12/3/20,1,Yes
MI,Macomb County,26,99,12/4/20,1,Yes
MI,Macomb County,26,99,12/5/20,1,Yes
MI,Macomb County,26,99,12/6/20,1,Yes
MI,Macomb County,26,99,12/7/20,1,Yes
MI,Macomb County,26,99,12/8/20,1,Yes
MI,Macomb County,26,99,12/9/20,1,Yes
MI,Macomb County,26,99,12/10/20,1,Yes
MI,Macomb County,26,99,12/11/20,1,Yes
MI,Macomb County,26,99,12/12/20,1,Yes
MI,Macomb County,26,99,12/13/20,1,Yes
MI,Macomb County,26,99,12/14/20,1,Yes
MI,Macomb County,26,99,12/15/20,1,Yes
MI,Macomb County,26,99,12/16/20,1,Yes
MI,Macomb County,26,99,12/17/20,1,Yes
MI,Macomb County,26,99,12/18/20,1,Yes
MI,Macomb County,26,99,12/19/20,1,Yes
MI,Macomb County,26,99,12/20/20,1,Yes
MI,Macomb County,26,99,12/21/20,1,Yes
MI,Macomb County,26,99,12/22/20,1,Yes
MI,Macomb County,26,99,12/23/20,1,Yes
MI,Macomb County,26,99,12/24/20,1,Yes
MI,Macomb County,26,99,12/25/20,1,Yes
MI,Macomb County,26,99,12/26/20,1,Yes
MI,Macomb County,26,99,12/27/20,1,Yes
MI,Macomb County,26,99,12/28/20,1,Yes
MI,Macomb County,26,99,12/29/20,1,Yes
MI,Macomb County,26,99,12/30/20,1,Yes
MI,Macomb County,26,99,12/31/20,1,Yes
MI,Macomb County,26,99,1/1/21,1,Yes
MI,Macomb County,26,99,1/2/21,1,Yes
MI,Macomb County,26,99,1/3/21,1,Yes
MI,Macomb County,26,99,1/4/21,1,Yes
MI,Macomb County,26,99,1/5/21,1,Yes
MI,Macomb County,26,99,1/6/21,1,Yes
MI,Macomb County,26,99,1/7/21,1,Yes
MI,Macomb County,26,99,1/8/21,1,Yes
MI,Macomb County,26,99,1/9/21,1,Yes
MI,Macomb County,26,99,1/10/21,1,Yes
MI,Macomb County,26,99,1/11/21,1,Yes
MI,Macomb County,26,99,1/12/21,1,Yes
MI,Macomb County,26,99,1/13/21,1,Yes
MI,Macomb County,26,99,1/14/21,1,Yes
MI,Macomb County,26,99,1/15/21,1,Yes
MI,Macomb County,26,99,1/16/21,1,Yes
MI,Macomb County,26,99,1/17/21,1,Yes
MI,Macomb County,26,99,1/18/21,1,Yes
MI,Macomb County,26,99,1/19/21,1,Yes
MI,Macomb County,26,99,1/20/21,1,Yes
MI,Macomb County,26,99,1/21/21,1,Yes
MI,Macomb County,26,99,1/22/21,1,Yes
MI,Macomb County,26,99,1/23/21,1,Yes
MI,Macomb County,26,99,1/24/21,1,Yes
MI,Macomb County,26,99,1/25/21,1,Yes
MI,Macomb County,26,99,1/26/21,1,Yes
MI,Macomb County,26,99,1/27/21,1,Yes
MI,Macomb County,26,99,1/28/21,1,Yes
MI,Macomb County,26,99,1/29/21,1,Yes
MI,Macomb County,26,99,1/30/21,1,Yes
MI,Macomb County,26,99,1/31/21,1,Yes
MI,Macomb County,26,99,2/1/21,1,Yes
MI,Macomb County,26,99,2/2/21,1,Yes
MI,Macomb County,26,99,2/3/21,1,Yes
MI,Macomb County,26,99,2/4/21,1,Yes
MI,Macomb County,26,99,2/5/21,1,Yes
MI,Macomb County,26,99,2/6/21,1,Yes
MI,Macomb County,26,99,2/7/21,1,Yes
MI,Macomb County,26,99,2/8/21,1,Yes
MI,Macomb County,26,99,2/9/21,1,Yes
MI,Macomb County,26,99,2/10/21,1,Yes
MI,Macomb County,26,99,2/11/21,1,Yes
MI,Macomb County,26,99,2/12/21,1,Yes
MI,Macomb County,26,99,2/13/21,1,Yes
MI,Macomb County,26,99,2/14/21,1,Yes
MI,Macomb County,26,99,2/15/21,1,Yes
MI,Macomb County,26,99,2/16/21,1,Yes
MI,Macomb County,26,99,2/17/21,1,Yes
MI,Macomb County,26,99,2/18/21,1,Yes
MI,Macomb County,26,99,2/19/21,1,Yes
MI,Macomb County,26,99,2/20/21,1,Yes
MI,Macomb County,26,99,2/21/21,1,Yes
MI,Macomb County,26,99,2/22/21,1,Yes
MI,Macomb County,26,99,2/23/21,1,Yes
MI,Macomb County,26,99,2/24/21,1,Yes
MI,Macomb County,26,99,2/25/21,1,Yes
MI,Macomb County,26,99,2/26/21,1,Yes
MI,Macomb County,26,99,2/27/21,1,Yes
MI,Macomb County,26,99,2/28/21,1,Yes
MI,Macomb County,26,99,3/1/21,1,Yes
MI,Macomb County,26,99,3/2/21,1,Yes
MI,Macomb County,26,99,3/3/21,1,Yes
MI,Macomb County,26,99,3/4/21,1,Yes
MI,Macomb County,26,99,3/5/21,1,Yes
MI,Macomb County,26,99,3/6/21,1,Yes
MI,Macomb County,26,99,3/7/21,1,Yes
MI,Macomb County,26,99,3/8/21,1,Yes
MI,Macomb County,26,99,3/9/21,1,Yes
MI,Macomb County,26,99,3/10/21,1,Yes
MI,Macomb County,26,99,3/11/21,1,Yes
MI,Macomb County,26,99,3/12/21,1,Yes
MI,Macomb County,26,99,3/13/21,1,Yes
MI,Macomb County,26,99,3/14/21,1,Yes
MI,Macomb County,26,99,3/15/21,1,Yes
MI,Macomb County,26,99,3/16/21,1,Yes
MI,Macomb County,26,99,3/17/21,1,Yes
MI,Macomb County,26,99,3/18/21,1,Yes
MI,Macomb County,26,99,3/19/21,1,Yes
MI,Macomb County,26,99,3/20/21,1,Yes
MI,Macomb County,26,99,3/21/21,1,Yes
MI,Macomb County,26,99,3/22/21,1,Yes
MI,Macomb County,26,99,3/23/21,1,Yes
MI,Macomb County,26,99,3/24/21,1,Yes
MI,Macomb County,26,99,3/25/21,1,Yes
MI,Macomb County,26,99,3/26/21,1,Yes
MI,Macomb County,26,99,3/27/21,1,Yes
MI,Macomb County,26,99,3/28/21,1,Yes
MI,Macomb County,26,99,3/29/21,1,Yes
MI,Macomb County,26,99,3/30/21,1,Yes
MI,Macomb County,26,99,3/31/21,1,Yes
MI,Macomb County,26,99,4/1/21,1,Yes
MI,Macomb County,26,99,4/2/21,1,Yes
MI,Macomb County,26,99,4/3/21,1,Yes
MI,Macomb County,26,99,4/4/21,1,Yes
MI,Macomb County,26,99,4/5/21,1,Yes
MI,Macomb County,26,99,4/6/21,1,Yes
MI,Macomb County,26,99,4/7/21,1,Yes
MI,Macomb County,26,99,4/8/21,1,Yes
MI,Macomb County,26,99,4/9/21,1,Yes
MI,Macomb County,26,99,4/10/21,1,Yes
MI,Macomb County,26,99,4/11/21,1,Yes
MI,Macomb County,26,99,4/12/21,1,Yes
MI,Macomb County,26,99,4/13/21,1,Yes
MI,Macomb County,26,99,4/14/21,1,Yes
MI,Macomb County,26,99,4/15/21,1,Yes
MI,Macomb County,26,99,4/16/21,1,Yes
MI,Macomb County,26,99,4/17/21,1,Yes
MI,Macomb County,26,99,4/18/21,1,Yes
MI,Macomb County,26,99,4/19/21,1,Yes
MI,Macomb County,26,99,4/20/21,1,Yes
MI,Macomb County,26,99,4/21/21,1,Yes
MI,Macomb County,26,99,4/22/21,1,Yes
MI,Macomb County,26,99,4/23/21,1,Yes
MI,Macomb County,26,99,4/24/21,1,Yes
MI,Macomb County,26,99,4/25/21,1,Yes
MI,Macomb County,26,99,4/26/21,1,Yes
MI,Macomb County,26,99,4/27/21,1,Yes
MI,Macomb County,26,99,4/28/21,1,Yes
MI,Macomb County,26,99,4/29/21,1,Yes
MI,Macomb County,26,99,4/30/21,1,Yes
MI,Macomb County,26,99,5/1/21,1,Yes
MI,Macomb County,26,99,5/2/21,1,Yes
MI,Macomb County,26,99,5/3/21,1,Yes
MI,Macomb County,26,99,5/4/21,1,Yes
MI,Macomb County,26,99,5/5/21,1,Yes
MI,Macomb County,26,99,5/6/21,1,Yes
MI,Macomb County,26,99,5/7/21,1,Yes
MI,Macomb County,26,99,5/8/21,1,Yes
MI,Macomb County,26,99,5/9/21,1,Yes
MI,Macomb County,26,99,5/10/21,1,Yes
MI,Macomb County,26,99,5/11/21,1,Yes
MI,Macomb County,26,99,5/12/21,1,Yes
MI,Macomb County,26,99,5/13/21,1,Yes
MI,Macomb County,26,99,5/14/21,1,Yes
MI,Macomb County,26,99,5/15/21,1,Yes
MI,Macomb County,26,99,5/16/21,1,Yes
MI,Macomb County,26,99,5/17/21,1,Yes
MI,Macomb County,26,99,5/18/21,1,Yes
MI,Macomb County,26,99,5/19/21,1,Yes
MI,Macomb County,26,99,5/20/21,1,Yes
MI,Macomb County,26,99,5/21/21,1,Yes
MI,Macomb County,26,99,5/22/21,1,Yes
MI,Macomb County,26,99,5/23/21,1,Yes
MI,Macomb County,26,99,5/24/21,1,Yes
MI,Macomb County,26,99,5/25/21,1,Yes
MI,Macomb County,26,99,5/26/21,1,Yes
MI,Macomb County,26,99,5/27/21,1,Yes
MI,Macomb County,26,99,5/28/21,1,Yes
MI,Macomb County,26,99,5/29/21,1,Yes
MI,Macomb County,26,99,5/30/21,1,Yes
MI,Macomb County,26,99,5/31/21,1,Yes
MI,Macomb County,26,99,6/1/21,1,Yes
MI,Macomb County,26,99,6/2/21,1,Yes
MI,Macomb County,26,99,6/3/21,1,Yes
MI,Macomb County,26,99,6/4/21,1,Yes
MI,Macomb County,26,99,6/5/21,1,Yes
MI,Macomb County,26,99,6/6/21,1,Yes
MI,Macomb County,26,99,6/7/21,1,Yes
MI,Macomb County,26,99,6/8/21,1,Yes
MI,Macomb County,26,99,6/9/21,1,Yes
MI,Macomb County,26,99,6/10/21,1,Yes
MI,Macomb County,26,99,6/11/21,1,Yes
MI,Macomb County,26,99,6/12/21,1,Yes
MI,Macomb County,26,99,6/13/21,1,Yes
MI,Macomb County,26,99,6/14/21,1,Yes
MI,Macomb County,26,99,6/15/21,1,Yes
MI,Macomb County,26,99,6/16/21,1,Yes
MI,Macomb County,26,99,6/17/21,1,Yes
MI,Macomb County,26,99,6/18/21,1,Yes
MI,Macomb County,26,99,6/19/21,1,Yes
MI,Macomb County,26,99,6/20/21,1,Yes
MI,Macomb County,26,99,6/21/21,1,Yes
MI,Macomb County,26,99,6/22/21,2,No
MI,Macomb County,26,99,6/23/21,2,No
MI,Macomb County,26,99,6/24/21,2,No
MI,Macomb County,26,99,6/25/21,2,No
MI,Macomb County,26,99,6/26/21,2,No
MI,Macomb County,26,99,6/27/21,2,No
MI,Macomb County,26,99,6/28/21,2,No
MI,Macomb County,26,99,6/29/21,2,No
MI,Macomb County,26,99,6/30/21,2,No
MI,Macomb County,26,99,7/1/21,2,No
MI,Macomb County,26,99,7/2/21,2,No
MI,Macomb County,26,99,7/3/21,2,No
MI,Macomb County,26,99,7/4/21,2,No
MI,Macomb County,26,99,7/5/21,2,No
MI,Macomb County,26,99,7/6/21,2,No
MI,Macomb County,26,99,7/7/21,2,No
MI,Macomb County,26,99,7/8/21,2,No
MI,Macomb County,26,99,7/9/21,2,No
MI,Macomb County,26,99,7/10/21,2,No
MI,Macomb County,26,99,7/11/21,2,No
MI,Macomb County,26,99,7/12/21,2,No
MI,Macomb County,26,99,7/13/21,2,No
MI,Macomb County,26,99,7/14/21,2,No
MI,Macomb County,26,99,7/15/21,2,No
MI,Macomb County,26,99,7/16/21,2,No
MI,Macomb County,26,99,7/17/21,2,No
MI,Macomb County,26,99,7/18/21,2,No
MI,Macomb County,26,99,7/19/21,2,No
MI,Macomb County,26,99,7/20/21,2,No
MI,Macomb County,26,99,7/21/21,2,No
MI,Macomb County,26,99,7/22/21,2,No
MI,Macomb County,26,99,7/23/21,2,No
MI,Macomb County,26,99,7/24/21,2,No
MI,Macomb County,26,99,7/25/21,2,No
MI,Macomb County,26,99,7/26/21,2,No
MI,Macomb County,26,99,7/27/21,2,No
MI,Macomb County,26,99,7/28/21,2,No
MI,Macomb County,26,99,7/29/21,2,No
MI,Macomb County,26,99,7/30/21,2,No
MI,Macomb County,26,99,7/31/21,2,No
MI,Macomb County,26,99,8/1/21,2,No
MI,Macomb County,26,99,8/2/21,2,No
MI,Macomb County,26,99,8/3/21,2,No
MI,Macomb County,26,99,8/4/21,2,No
MI,Macomb County,26,99,8/5/21,2,No
MI,Macomb County,26,99,8/6/21,2,No
MI,Macomb County,26,99,8/7/21,2,No
MI,Macomb County,26,99,8/8/21,2,No
MI,Macomb County,26,99,8/9/21,2,No
MI,Macomb County,26,99,8/10/21,2,No
MI,Macomb County,26,99,8/11/21,2,No
MI,Macomb County,26,99,8/12/21,2,No
MI,Macomb County,26,99,8/13/21,2,No
MI,Macomb County,26,99,8/14/21,2,No
MI,Macomb County,26,99,8/15/21,2,No
